commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Tinda,0.1131332601734129,1483.38,0.7763133110956639,11,1.4656381486676016,0.4577041669225302,0.15880123698686438,0.054660346311361935,0.09820333276178585,0.01633393829401089,0.3355300333565042,0.13290902305913369,99,Moderately Stable
Knool Khol,0.1044026601272713,1392.34,0.815259320908221,78,1.4556765163297043,0.3377993571831058,0.14617356332828824,0.054288831504715473,0.0921762652439327,0.13793103448275862,0.27711101863766874,0.13121928616737805,100,Moderately Stable
Squash(Chappal Kadoo),0.1006400257067203,804.33,0.7370997926224157,9,1.828125,0.56554352400064,0.1407314036476095,0.06817913800299229,0.053248585419978164,0.012704174228675135,0.3943503110663765,0.13033688676185054,101,Moderately Stable
Tender Coconut,0.1070520004659697,917.71,0.8191037568113517,65,1.838088088088088,0.2985550610410029,0.15000548839996417,0.06855070710121793,0.06075461480458041,0.11433756805807621,0.2713443647829724,0.1264256577794633,102,Moderately Stable
Cowpea (Lobia/Karamani),0.1058856905294805,2196.53,0.8273727834858923,7,1.032537960954447,0.3335301185390567,0.14831857327558517,0.03850806051732869,0.14541558232633947,0.009074410163339383,0.25894082477116165,0.12295426830928381,103,Moderately Stable
Mataki,0.1505861199227227,2079.6,0.8761368144774547,2,0.3552146868772269,0.2511747138679432,0.2129719111667816,0.0132475794364675,0.13767453438189123,0.0,0.18579477828381796,0.1226075918281023,104,Moderately Stable
Wheat,0.0957880668724141,207.94,0.9365664757378678,316,0.7471524810292128,0.0781501175331327,0.1337136783548856,0.027864731412441043,0.013766129389964639,0.5698729582577132,0.09515028639319845,0.12109335102231997,105,Moderately Stable
Tube Rose(Loose),0.1313251426267319,1900.29,0.8601864414400229,9,0.703125,0.2672286152576104,0.18511342098814768,0.02622274538576627,0.12580378002527606,0.012704174228675135,0.2097203378399658,0.11997893674680346,106,Moderately Stable
Groundnut,0.135785521541408,980.02,0.8911508471696705,95,0.8299725660248549,0.1787674203576872,0.19156477702673014,0.030953470970369212,0.06487968704796165,0.16878402903811252,0.16327372924549433,0.11955320055083907,107,Moderately Stable
Pointed gourd (Parval),0.0854924195916799,1120.36,0.8180687228141992,61,1.8328031106398024,0.3019694950761773,0.11882236810383645,0.06835360613340151,0.0741705334391689,0.10707803992740471,0.27289691577870123,0.11921156001188075,108,Moderately Stable
Chikoos(Sapota),0.115486782911367,1088.53,0.8436320447289145,43,1.393296089385475,0.261489836252641,0.16220530050207002,0.05196238022960234,0.07206331068990193,0.07441016333938293,0.23455193290662824,0.1186886536159345,109,Moderately Stable
