,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
190,Mahua Seed(Hippe seed),2,2200.0,2200.0,2200.0,0.0,0.0,0.0,191
191,Marigold(loose),1,3000.0,3000.0,3000.0,,0.0,0.0,192
192,Sajje,1,2125.0,2125.0,2125.0,,0.0,0.0,193
193,Rayee,1,5900.0,5900.0,5900.0,,0.0,0.0,194
194,Red Gram,1,7600.0,7600.0,7600.0,,0.0,0.0,195
195,Rose(Loose)),1,6000.0,6000.0,6000.0,,0.0,0.0,196
196,Pigs,1,5300.0,5300.0,5300.0,,0.0,0.0,197
197,Tamarind Seed,1,3100.0,3100.0,3100.0,,0.0,0.0,198
198,Surat Beans (Papadi),1,5750.0,5750.0,5750.0,,0.0,0.0,199
199,Suvarna Gadde,1,4500.0,4500.0,4500.0,,0.0,0.0,200
